city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
hanzhong,cn,33,33,67,70,100,1
drochia,md,48,48,64,65,20,8
verkhoturye,ru,58,58,45,73,0,7
vazante,br,-17,-17,75,65,32,2
wilmington island,us,32,32,86,45,75,12
tselinnoye,ru,45,45,62,90,0,5
orgun,af,0,0,0,0,0,0
uaua,br,-9,-9,81,44,0,7
paitan,ph,23,23,77,94,75,11
uige,ao,-7,-7,62,53,0,4
gidam,in,18,18,76,93,24,11
porosozero,ru,62,62,39,100,92,6
valley city,us,46,46,74,40,1,11
amot,no,59,59,57,51,0,2
nalut,ly,31,31,79,48,0,7
tanete,id,-3,-3,77,84,20,8
takaka,nz,-40,-40,42,100,0,3
arona,es,45,45,66,77,75,8
karamea,nz,0,0,0,0,0,0
zlatoustovsk,ru,0,0,0,0,0,0
williamsport,us,41,41,75,44,20,3
ritchie,za,-29,-29,41,52,0,1
dunedin,nz,-45,-45,22,86,8,4
santomera,es,38,38,70,68,0,6
rio bravo,mx,14,14,89,59,75,6
tansen,np,27,27,75,79,92,6
zagreb,hr,45,45,66,73,0,2
kasungu,mw,-13,-13,45,85,0,2
paytug,uz,0,0,0,0,0,0
faanui,pf,-16,-16,81,100,92,11
klyuchi,ru,52,52,62,55,8,4
lisiy nos,ru,60,60,50,81,90,13
tasiilaq,gl,65,65,39,93,92,3
kilrush,ie,51,51,59,77,40,2
turtas,ru,58,58,58,90,92,9
uspenka,ru,48,48,59,48,48,6
hobart,au,-42,-42,53,62,40,12
mora,cm,61,61,57,52,32,5
merced,us,37,37,80,41,1,7
qixingtai,cn,30,30,70,95,76,3
endicott,us,42,42,70,46,20,9
volchansk,ru,59,59,43,90,56,7
calceta,ec,0,0,78,69,75,13
ulaangom,mn,49,49,40,61,24,2
almaty,kz,43,43,64,59,75,5
loukhi,ru,66,66,41,63,24,5
taraz,kz,42,42,73,43,90,6
bollnas,se,61,61,58,52,32,6
belgrade,us,44,44,75,61,0,11
bafq,ir,31,31,85,14,76,5
kargapolye,ru,0,0,0,0,0,0
kankaanpaa,fi,61,61,48,70,48,2
zilupe,lv,56,56,52,66,24,11
farrukhnagar,in,28,28,93,56,0,8
greytown,za,-29,-29,38,72,0,1
chapleau,ca,47,47,66,48,75,8
caernarfon,gb,53,53,59,67,0,8
sawtell,au,-30,-30,51,100,75,4
coulihaut,dm,0,0,0,0,0,0
michigan city,us,41,41,78,42,1,14
upernavik,gl,72,72,32,90,80,17
badarganj,bd,25,25,80,91,36,9
hit,iq,33,33,85,19,0,7
ourossogui,sn,15,15,94,24,12,6
alugan,ph,12,12,79,100,48,18
coruripe,br,-10,-10,79,97,92,12
salekhard,ru,66,66,34,76,92,6
chambersburg,us,39,39,76,47,1,5
da lat,vn,11,11,69,93,88,5
hwange,zw,-18,-18,45,62,0,3
guryevsk,ru,54,54,55,75,0,3
hainburg,at,50,50,68,77,75,6
gwadar,pk,25,25,85,92,0,9
colesberg,za,-30,-30,33,69,12,2
chavakkad,in,10,10,77,94,90,6
ergani,tr,38,38,68,56,40,4
porto seguro,br,-16,-16,77,83,20,6
aban,ru,0,0,0,0,0,0
ankara,tr,39,39,57,87,40,6
verkhnyaya khava,ru,51,51,42,93,0,2
kualakapuas,id,-3,-3,77,87,8,3
nizwa,om,22,22,80,41,0,7
tashtagol,ru,52,52,58,62,8,5
rantauprapat,id,2,2,74,82,64,2
blensong,ph,0,0,0,0,0,0
gubkinskiy,ru,64,64,65,55,32,17
praya,id,-8,-8,73,94,40,1
nanma,cn,35,35,61,64,80,1
ibicui,br,-14,-14,71,86,0,5
svay rieng,kh,11,11,80,81,88,6
cocorit,mx,27,27,95,28,5,6
hazorasp,uz,41,41,73,43,0,9
ordubad,az,38,38,64,68,20,4
kikuchi,jp,33,33,73,94,75,2
la palma,pa,5,5,82,58,0,2
mae hong son,th,19,19,71,99,92,2
troitskoye,ru,52,52,62,60,12,2
cuyo,ph,0,0,0,0,0,0
lerwick,gb,60,60,50,76,88,9
ayan,ru,40,40,52,87,48,2
bouna,ci,9,9,81,73,0,6
avanigadda,in,16,16,80,83,36,19
mandapeta,in,16,16,82,90,76,19
kasongo-lunda,cd,-6,-6,66,59,0,3
kapit,my,2,2,73,97,44,1
jamestown,sh,-33,-33,55,58,100,4
whitecourt,ca,54,54,77,20,75,16
mariestad,se,58,58,62,39,0,3
fulitun,cn,0,0,0,0,0,0
gromiljak,ba,43,43,66,82,0,3
sheopur,in,25,25,87,48,0,5
sydney,au,-33,-33,49,76,0,5
kamaishi,jp,39,39,65,90,64,2
itaocara,br,-21,-21,65,99,24,0
blagoevgrad,bg,42,42,56,92,0,2
venado,mx,22,22,84,27,0,9
shilka,ru,51,51,50,83,20,2
bantry,ie,0,0,0,0,0,0
bow island,ca,49,49,75,44,75,13
zerbst,de,51,51,68,52,0,9
abhar,ir,36,36,50,79,0,2
koygorodok,ru,60,60,40,64,44,2
tonekabon,ir,36,36,70,83,0,1
juybar,ir,36,36,71,94,0,2
owensboro,us,37,37,88,46,20,10
nizhnevartovsk,ru,60,60,69,49,0,8
kishi,ng,9,9,78,79,8,8
melito di porto salvo,it,37,37,79,64,0,2
raurkela,in,0,0,0,0,0,0
shanghai,cn,31,31,70,88,0,4
kachiry,kz,53,53,69,41,24,10
mlonggo,id,-6,-6,75,100,80,4
serabu,sl,7,7,79,81,56,5
volksrust,za,-27,-27,31,73,0,2
puerto cortes,hn,0,0,0,0,0,0
nedjo,et,9,9,58,92,32,2
jesup,us,31,31,91,31,40,4
ciras,af,0,0,0,0,0,0
meylan,fr,45,45,61,93,92,4
podor,sn,16,16,93,22,36,7
suzun,ru,53,53,57,65,0,3
middelburg,za,-25,-25,34,66,0,4
nouadhibou,mr,20,20,71,68,20,14
palanga,lt,44,44,70,72,8,6
oleksandrivka,ua,48,48,54,75,0,6
snihurivka,ua,47,47,58,50,0,7
kargat,ru,55,55,61,58,8,2
carroll,us,-30,-30,41,86,36,5
parangan,ph,5,5,85,100,20,12
shizilu,cn,21,21,77,100,76,11
urengoy,ru,65,65,35,80,0,1
kuldiga,lv,56,56,57,76,0,14
taltal,cl,-25,-25,64,74,0,1
camaqua,br,-30,-30,55,61,0,15
malacacheta,br,-17,-17,69,90,0,3
ampanihy,mg,-24,-24,64,95,100,10
